"Country","Mortality Rate","Region"
"AZERBAIJAN",18,"CENTRAL ASIA"
"EGYPT",17,"AFRICA"
"BAHRAIN",17,"MIDDLE EAST"
"UNITED STATES",17,"NORTH AMERICA"
"CHINA",16,"EAST AND SOUTHEAST ASIA"
"WEST BANK",16,"MIDDLE EAST"
"GAZA STRIP",16,"MIDDLE EAST"
"IRAN",16,"MIDDLE EAST"
"TURKEY",15,"MIDDLE EAST"
"URUGUAY",15,"SOUTH AMERICA"
"PORTUGAL",15,"EUROPE"
"UKRAINE",15,"EUROPE"
"LEBANON",15,"MIDDLE EAST"
"CYPRUS",14,"EUROPE"
"TAJIKISTAN",14,"CENTRAL ASIA"
"OMAN",13,"MIDDLE EAST"
"CANADA",12,"NORTH AMERICA"
"ROMANIA",12,"EUROPE"
"LUXEMBOURG",12,"EUROPE"
"HUNGARY",12,"EUROPE"
"ANDORRA",11,"EUROPE"
"SERBIA",11,"EUROPE"
"PUERTO RICO",11,"CENTRAL AMERICA AND THE CARIBBEAN"
"CHILE",10,"SOUTH AMERICA"
"KAZAKHSTAN",10,"CENTRAL ASIA"
"RUSSIA",9,"CENTRAL ASIA"
"LITHUANIA",8,"EUROPE"
"KUWAIT",8,"MIDDLE EAST"
"UNITED KINGDOM",8,"EUROPE"
"FINLAND",8,"EUROPE"
"MALTA",8,"EUROPE"
"SAN MARINO",8,"EUROPE"
"FRANCE",7,"EUROPE"
"ALBANIA",7,"EUROPE"
"NEW ZEALAND",7,"AUSTRALIA AND OCEANIA"
"SAUDI ARABIA",7,"MIDDLE EAST"
"ITALY",6,"EUROPE"
"BOSNIA AND HERZEGOVINA",6,"EUROPE"
"MONTENEGRO",6,"EUROPE"
"SINGAPORE",6,"EAST AND SOUTHEAST ASIA"
"AUSTRIA",6,"EUROPE"
"BULGARIA",6,"EUROPE"
"TURKMENISTAN",5,"CENTRAL ASIA"
"ESTONIA",5,"EUROPE"
"GREECE",5,"EUROPE"
"SWITZERLAND",5,"EUROPE"
"MONACO",5,"EUROPE"
"IRELAND",4,"EUROPE"
"QATAR",4,"MIDDLE EAST"
"NETHERLANDS",4,"EUROPE"
"BELGIUM",4,"EUROPE"
"DENMARK",4,"EUROPE"
"KOREA SOUTH",4,"EAST AND SOUTHEAST ASIA"
"SWEDEN",4,"EUROPE"
"SLOVAKIA",4,"EUROPE"
"GERMANY",4,"EUROPE"
"JAPAN",3,"EAST AND SOUTHEAST ASIA"
"SPAIN",3,"EUROPE"
"NORTH MACEDONIA",3,"EUROPE"
"ICELAND",3,"EUROPE"
"CZECHIA",3,"EUROPE"
"CROATIA",3,"EUROPE"
"UNITED ARAB EMIRATES",3,"MIDDLE EAST"
"SLOVENIA",3,"EUROPE"
"AUSTRALIA",2,"AUSTRALIA AND OCEANIA"
"ISRAEL",2,"MIDDLE EAST"
"POLAND",2,"EUROPE"
"BELARUS",1,"EUROPE"
"NORWAY",1,"EUROPE"
